OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,DiscountPct,Revenue
ORD100034,2023-01-01,East,Apparel,Jacket,5,1081.07,0,5405.35
ORD100035,2023-01-01,South,Beauty,Perfume,6,700.68,0,4204.08
ORD100036,2023-01-01,West,Furniture,Bookshelf,1,2629.17,0,2629.17
ORD100037,2023-01-01,East,Beauty,Skincare Kit,5,3399.16,0,16995.8
ORD100038,2023-01-01,North,Toys,Puzzle,1,671.95,0,671.95
ORD100039,2023-01-01,Central,Home & Kitchen,Air Fryer,4,2561.97,5,9735.49
ORD100040,2023-01-01,South,Groceries,Snack Pack,3,419.59,5,1195.83
ORD100041,2023-01-01,West,Beauty,Perfume,5,3482.35,0,17411.75
ORD100042,2023-01-01,Central,Groceries,Cereal Box,3,598.51,5,1705.75
ORD100043,2023-01-01,South,Beauty,Skincare Kit,8,519.29,0,4154.32
ORD100044,2023-01-01,Central,Toys,Board Game,1,1472.54,15,1251.66
ORD100045,2023-01-01,East,Apparel,Sneakers,6,1988.2,0,11929.2
ORD100046,2023-01-01,East,Home & Kitchen,Cookware Set,3,2864.41,0,8593.23
ORD100047,2023-01-01,Central,Home & Kitchen,Vacuum Cleaner,6,3178.73,20,15257.9
ORD100048,2023-01-01,South,Apparel,Jacket,6,2415.2,0,14491.2
ORD100049,2023-01-01,South,Electronics,Laptop,3,34074.89,15,86890.97
ORD100050,2023-01-01,East,Electronics,Tablet,5,17908.8,0,89544.0
ORD100051,2023-01-01,East,Stationery,Notebook,1,86.15,0,86.15
ORD100052,2023-01-01,East,Beauty,Perfume,3,523.08,10,1412.32
ORD100053,2023-01-01,East,Groceries,Organic Coffee,5,697.74,10,3139.83
ORD100054,2023-01-01,South,Beauty,Perfume,1,3063.18,10,2756.86
ORD100055,2023-01-01,South,Electronics,Laptop,6,32469.45,5,185075.86
ORD100056,2023-01-01,East,Groceries,Organic Coffee,2,62.31,10,112.16
ORD100057,2023-01-01,South,Beauty,Perfume,6,2484.52,10,13416.41
ORD100058,2023-01-01,North,Home & Kitchen,Mixer,2,4137.34,0,8274.68
ORD100059,2023-01-01,North,Home & Kitchen,Mixer,1,4549.06,10,4094.15
ORD100060,2023-01-01,South,Electronics,Smartphone,3,33164.24,0,99492.72
ORD100061,2023-01-01,South,Groceries,Snack Pack,2,742.71,0,1485.42
ORD100062,2023-01-01,South,Electronics,Smartwatch,5,37726.89,5,179202.73
ORD100063,2023-01-01,North,Stationery,Pen Set,1,349.34,0,349.34
ORD100064,2023-01-01,North,Furniture,Office Chair,1,19198.1,0,19198.1
ORD100065,2023-01-01,South,Groceries,Cereal Box,7,532.61,10,3355.44
ORD100066,2023-01-01,North,Groceries,Snack Pack,6,889.45,0,5336.7
ORD100067,2023-01-01,North,Groceries,Organic Coffee,3,304.02,0,912.06
ORD100068,2023-01-01,East,Home & Kitchen,Air Fryer,6,4941.71,0,29650.26
ORD100069,2023-01-01,South,Apparel,Sneakers,3,1501.25,0,4503.75
ORD100070,2023-01-01,North,Apparel,Sneakers,6,2836.19,0,17017.14
ORD100071,2023-01-01,South,Groceries,Organic Coffee,1,843.63,0,843.63
ORD100072,2023-01-02,North,Apparel,Sneakers,3,1017.38,5,2899.53
ORD100073,2023-01-02,South,Toys,Action Figure,1,816.55,15,694.07
ORD100074,2023-01-02,East,Apparel,Sneakers,7,1449.06,0,10143.42
ORD100075,2023-01-02,South,Electronics,Headphones,4,30584.43,0,122337.72
ORD100076,2023-01-02,East,Beauty,Perfume,3,2388.21,15,6089.94
ORD100077,2023-01-02,West,Home & Kitchen,Cookware Set,6,10649.79,0,63898.74
ORD100078,2023-01-02,North,Beauty,Perfume,4,541.42,15,1840.83
ORD100079,2023-01-02,South,Home & Kitchen,Cookware Set,3,3190.52,0,9571.56
ORD100080,2023-01-02,North,Electronics,Tablet,3,18791.19,0,56373.57
ORD100081,2023-01-02,Central,Beauty,Skincare Kit,3,2824.08,0,8472.24
ORD100082,2023-01-02,Central,Beauty,Skincare Kit,4,2651.7,0,10606.8
ORD100083,2023-01-02,North,Electronics,Laptop,5,8986.05,15,38190.71
ORD100084,2023-01-02,North,Home & Kitchen,Air Fryer,4,3991.43,0,15965.72
ORD100085,2023-01-02,East,Groceries,Organic Coffee,3,522.63,10,1411.1
ORD100086,2023-01-02,South,Beauty,Skincare Kit,5,695.07,0,3475.35
ORD100087,2023-01-02,North,Groceries,Organic Coffee,3,174.63,20,419.11
ORD100088,2023-01-02,North,Electronics,Smartphone,2,10293.81,0,20587.62
ORD100089,2023-01-02,North,Furniture,Office Chair,1,13362.75,0,13362.75
ORD100090,2023-01-02,North,Apparel,Jacket,5,2993.65,15,12723.01
ORD100091,2023-01-02,West,Home & Kitchen,Cookware Set,3,8165.42,5,23271.45
ORD100092,2023-01-02,South,Apparel,T-Shirt,2,422.85,0,845.7
ORD100093,2023-01-02,South,Groceries,Organic Coffee,4,94.26,0,377.04
ORD100094,2023-01-02,East,Electronics,Laptop,3,37153.3,0,111459.9
ORD100095,2023-01-02,East,Home & Kitchen,Vacuum Cleaner,4,6620.67,0,26482.68
ORD100096,2023-01-02,East,Apparel,Jeans,7,1545.54,0,10818.78
ORD100097,2023-01-02,South,Home & Kitchen,Air Fryer,7,8225.51,0,57578.57
ORD100098,2023-01-02,South,Toys,Board Game,1,1159.49,10,1043.54
ORD100099,2023-01-02,West,Electronics,Tablet,4,49307.97,0,197231.88
ORD100100,2023-01-02,North,Electronics,Tablet,5,54067.65,0,270338.25
ORD100101,2023-01-02,East,Apparel,Jeans,4,1519.13,0,6076.52
ORD100102,2023-01-02,South,Groceries,Snack Pack,4,711.74,5,2704.61
ORD100103,2023-01-02,West,Toys,Puzzle,1,1643.85,15,1397.27
ORD100104,2023-01-02,East,Toys,Board Game,1,1113.74,5,1058.05
ORD100105,2023-01-02,North,Beauty,Skincare Kit,5,2153.35,0,10766.75
ORD100106,2023-01-02,West,Electronics,Tablet,3,22706.65,0,68119.95
ORD100107,2023-01-02,Central,Beauty,Perfume,3,794.36,10,2144.77
ORD100108,2023-01-02,Central,Groceries,Cereal Box,5,586.87,0,2934.35
ORD100109,2023-01-02,North,Stationery,Pen Set,1,152.02,0,152.02
ORD100110,2023-01-02,West,Beauty,Skincare Kit,2,2033.75,15,3457.38
ORD100111,2023-01-02,South,Electronics,Laptop,4,23769.02,15,80814.67
ORD100112,2023-01-02,West,Home & Kitchen,Air Fryer,3,4365.0,0,13095.0
ORD100113,2023-01-02,Central,Apparel,T-Shirt,4,3842.88,10,13834.37
ORD100114,2023-01-02,West,Electronics,Smartwatch,3,23421.49,0,70264.47
ORD100115,2023-01-02,West,Electronics,Tablet,1,19586.69,5,18607.36
ORD100116,2023-01-02,East,Groceries,Snack Pack,3,344.67,0,1034.01
ORD100117,2023-01-02,Central,Stationery,Notebook,1,405.84,15,344.96
ORD100118,2023-01-02,Central,Groceries,Snack Pack,4,473.52,20,1515.26
ORD100119,2023-01-02,West,Electronics,Smartphone,5,36039.29,5,171186.63
ORD100120,2023-01-02,South,Apparel,T-Shirt,3,2972.9,0,8918.7
ORD100121,2023-01-02,South,Toys,Puzzle,1,1537.82,0,1537.82
ORD100122,2023-01-02,Central,Stationery,Notebook,1,485.17,10,436.65
ORD100123,2023-01-02,East,Apparel,Jeans,6,3334.45,0,20006.7
ORD100124,2023-01-02,Central,Beauty,Hair Dryer,5,2891.96,0,14459.8
ORD100125,2023-01-02,East,Groceries,Cereal Box,2,641.1,0,1282.2
ORD100126,2023-01-02,South,Toys,Board Game,1,926.6,0,926.6
ORD100127,2023-01-02,West,Apparel,Jacket,4,3648.55,5,13864.49
ORD100128,2023-01-02,East,Groceries,Snack Pack,8,589.94,0,4719.52
ORD100129,2023-01-02,South,Electronics,Smartphone,2,29207.28,0,58414.56
ORD100130,2023-01-02,West,Furniture,Office Chair,1,24170.71,0,24170.71
ORD100131,2023-01-02,Central,Electronics,Smartphone,2,10969.22,5,20841.52
ORD100132,2023-01-02,South,Electronics,Laptop,4,29673.94,0,118695.76
ORD100133,2023-01-02,North,Electronics,Tablet,6,48622.44,15,247974.44
ORD100134,2023-01-02,North,Apparel,T-Shirt,2,3077.66,10,5539.79
ORD100135,2023-01-02,West,Groceries,Snack Pack,2,710.68,0,1421.36
ORD100136,2023-01-03,North,Beauty,Hair Dryer,3,818.6,0,2455.8
ORD100137,2023-01-03,West,Electronics,Headphones,6,38548.26,0,231289.56
ORD100138,2023-01-03,West,Home & Kitchen,Cookware Set,4,7163.51,0,28654.04
ORD100139,2023-01-03,Central,Electronics,Smartphone,5,54350.3,0,271751.5
ORD100140,2023-01-03,South,Apparel,Sneakers,2,2511.56,5,4771.96
ORD100141,2023-01-03,South,Groceries,Organic Coffee,3,596.05,0,1788.15
ORD100142,2023-01-03,East,Electronics,Laptop,3,53545.32,0,160635.96
ORD100143,2023-01-03,West,Stationery,Desk Organizer,1,103.5,0,103.5
ORD100144,2023-01-03,East,Groceries,Snack Pack,3,355.77,0,1067.31
ORD100145,2023-01-03,East,Apparel,Sneakers,3,3112.28,0,9336.84
ORD100146,2023-01-03,South,Groceries,Organic Coffee,3,432.81,0,1298.43
ORD100147,2023-01-03,East,Furniture,Office Chair,1,10778.33,5,10239.41
ORD100148,2023-01-03,Central,Apparel,Jeans,4,2541.62,0,10166.48
ORD100149,2023-01-03,East,Home & Kitchen,Mixer,7,5658.18,20,31685.81
ORD100150,2023-01-03,North,Home & Kitchen,Air Fryer,4,1706.87,10,6144.73
ORD100151,2023-01-03,South,Toys,Board Game,1,814.16,10,732.74
ORD100152,2023-01-03,Central,Home & Kitchen,Cookware Set,5,10180.92,10,45814.14
ORD100153,2023-01-03,South,Apparel,T-Shirt,2,1001.08,0,2002.16
ORD100154,2023-01-03,South,Groceries,Snack Pack,7,96.65,10,608.9
ORD100155,2023-01-03,East,Electronics,Headphones,6,45500.06,15,232050.31
ORD100156,2023-01-03,South,Electronics,Headphones,3,25587.77,15,65248.81
ORD100157,2023-01-03,West,Beauty,Skincare Kit,3,978.43,10,2641.76
ORD100158,2023-01-03,South,Beauty,Hair Dryer,3,1320.19,5,3762.54
ORD100159,2023-01-03,East,Groceries,Snack Pack,2,780.05,0,1560.1
ORD100160,2023-01-03,West,Home & Kitchen,Mixer,3,6187.43,0,18562.29
ORD100161,2023-01-03,North,Groceries,Snack Pack,5,674.56,0,3372.8
ORD100162,2023-01-03,South,Electronics,Smartwatch,2,49056.66,0,98113.32
ORD100163,2023-01-03,West,Home & Kitchen,Cookware Set,3,7087.31,15,18072.64
ORD100164,2023-01-03,Central,Groceries,Organic Coffee,2,636.93,0,1273.86
ORD100165,2023-01-03,East,Apparel,Jeans,2,2040.33,0,4080.66
ORD100166,2023-01-03,Central,Electronics,Tablet,3,40687.79,15,103753.86
ORD100167,2023-01-03,North,Stationery,Desk Organizer,1,94.64,5,89.91
ORD100168,2023-01-03,West,Electronics,Laptop,7,34641.95,0,242493.65
ORD100169,2023-01-03,Central,Home & Kitchen,Vacuum Cleaner,6,9657.09,0,57942.54
ORD100170,2023-01-03,East,Electronics,Smartwatch,2,52807.11,0,105614.22
ORD100171,2023-01-03,Central,Apparel,Jacket,4,1407.35,5,5347.93
ORD100172,2023-01-03,North,Electronics,Smartwatch,6,25990.35,20,124753.68
ORD100173,2023-01-03,North,Apparel,Jeans,3,1406.14,0,4218.42
ORD100174,2023-01-03,South,Electronics,Smartphone,3,27435.2,5,78190.32
ORD100175,2023-01-03,North,Electronics,Laptop,3,51514.19,5,146815.44
ORD100176,2023-01-03,West,Groceries,Snack Pack,6,318.42,0,1910.52
ORD100177,2023-01-03,West,Electronics,Headphones,3,14217.53,0,42652.59
ORD100178,2023-01-03,South,Electronics,Tablet,3,31757.33,0,95271.99
ORD100179,2023-01-03,Central,Groceries,Cereal Box,4,893.77,10,3217.57
ORD100180,2023-01-03,South,Groceries,Cereal Box,4,157.11,5,597.02
ORD100181,2023-01-03,West,Groceries,Cereal Box,4,157.34,0,629.36
ORD100182,2023-01-03,North,Electronics,Smartwatch,5,51425.15,0,257125.75
ORD100183,2023-01-03,South,Apparel,Jeans,3,3622.25,5,10323.41
ORD100184,2023-01-03,North,Electronics,Tablet,2,8817.41,0,17634.82
ORD100185,2023-01-03,North,Electronics,Tablet,3,58623.25,0,175869.75
ORD100186,2023-01-03,South,Stationery,Pen Set,1,259.55,0,259.55
ORD100187,2023-01-03,West,Groceries,Snack Pack,4,393.12,0,1572.48
ORD100188,2023-01-03,West,Home & Kitchen,Vacuum Cleaner,7,9205.59,10,57995.22
ORD100189,2023-01-03,West,Stationery,Pen Set,1,231.43,0,231.43
ORD100190,2023-01-03,East,Home & Kitchen,Cookware Set,3,5936.34,0,17809.02
ORD100191,2023-01-03,West,Apparel,T-Shirt,6,904.4,0,5426.4
ORD100192,2023-01-03,West,Home & Kitchen,Mixer,3,3799.41,0,11398.23
ORD100193,2023-01-03,North,Home & Kitchen,Vacuum Cleaner,4,7698.66,5,29254.91
ORD100194,2023-01-03,North,Electronics,Headphones,4,49735.69,20,159154.21
ORD100195,2023-01-03,West,Furniture,Bookshelf,1,8949.91,0,8949.91
ORD100196,2023-01-03,South,Furniture,Bookshelf,1,7237.02,0,7237.02
ORD100197,2023-01-03,South,Groceries,Cereal Box,2,331.91,0,663.82
ORD100198,2023-01-03,Central,Apparel,Jacket,4,1950.48,0,7801.92
ORD100199,2023-01-03,North,Home & Kitchen,Vacuum Cleaner,2,7775.56,0,15551.12
ORD100200,2023-01-03,West,Groceries,Snack Pack,4,620.69,0,2482.76
ORD100201,2023-01-03,North,Apparel,Sneakers,4,3783.71,20,12107.87
ORD100202,2023-01-03,East,Beauty,Perfume,5,590.59,0,2952.95
ORD100203,2023-01-03,South,Home & Kitchen,Air Fryer,4,2696.55,10,9707.58
ORD100204,2023-01-03,South,Beauty,Perfume,1,3352.5,15,2849.62
ORD100205,2023-01-03,South,Furniture,Bookshelf,1,12915.94,0,12915.94
ORD100206,2023-01-03,Central,Groceries,Organic Coffee,6,456.4,0,2738.4
ORD100207,2023-01-03,West,Apparel,Jeans,5,1779.57,5,8452.96
ORD100208,2023-01-04,East,Electronics,Smartwatch,4,41627.86,5,158185.87
ORD100209,2023-01-04,North,Furniture,Bookshelf,1,3043.11,0,3043.11
ORD100210,2023-01-04,East,Groceries,Cereal Box,2,255.75,0,511.5
ORD100211,2023-01-04,East,Electronics,Smartphone,4,26369.71,5,100204.9
ORD100212,2023-01-04,Central,Groceries,Snack Pack,3,703.2,0,2109.6
ORD100213,2023-01-04,Central,Toys,Board Game,1,1505.37,0,1505.37
ORD100214,2023-01-04,East,Home & Kitchen,Cookware Set,3,4909.44,0,14728.32
ORD100215,2023-01-04,North,Electronics,Smartwatch,6,52119.17,0,312715.02
ORD100216,2023-01-04,South,Home & Kitchen,Air Fryer,8,8544.85,0,68358.8
ORD100217,2023-01-04,South,Beauty,Perfume,2,1272.18,5,2417.14
ORD100218,2023-01-04,West,Beauty,Skincare Kit,4,2463.87,0,9855.48
ORD100219,2023-01-04,North,Beauty,Skincare Kit,5,400.41,0,2002.05
ORD100220,2023-01-04,East,Beauty,Skincare Kit,3,311.48,0,934.44
ORD100221,2023-01-04,South,Electronics,Smartwatch,4,31460.55,0,125842.2
ORD100222,2023-01-04,North,Electronics,Tablet,4,48036.17,15,163322.98
ORD100223,2023-01-04,South,Home & Kitchen,Air Fryer,3,4805.01,0,14415.03
ORD100224,2023-01-04,West,Electronics,Smartphone,1,33546.1,0,33546.1
ORD100225,2023-01-04,South,Furniture,Bookshelf,1,20470.38,0,20470.38
ORD100226,2023-01-04,Central,Furniture,Office Chair,1,9264.19,0,9264.19
ORD100227,2023-01-04,South,Stationery,Notebook,1,454.77,0,454.77
ORD100228,2023-01-04,East,Beauty,Hair Dryer,3,2409.87,0,7229.61
ORD100229,2023-01-04,East,Beauty,Hair Dryer,2,357.9,0,715.8
ORD100230,2023-01-04,Central,Home & Kitchen,Cookware Set,3,5688.46,5,16212.11
ORD100231,2023-01-04,South,Groceries,Snack Pack,2,687.31,10,1237.16
ORD100232,2023-01-04,North,Apparel,T-Shirt,3,1092.6,0,3277.8
ORD100233,2023-01-04,South,Beauty,Hair Dryer,4,2479.43,0,9917.72
ORD100234,2023-01-04,East,Home & Kitchen,Mixer,3,4849.24,0,14547.72
ORD100235,2023-01-04,South,Electronics,Tablet,2,53395.57,5,101451.58
ORD100236,2023-01-04,North,Electronics,Tablet,1,9147.29,0,9147.29
ORD100237,2023-01-04,West,Home & Kitchen,Vacuum Cleaner,6,10194.58,10,55050.73
ORD100238,2023-01-04,North,Apparel,T-Shirt,2,3572.81,0,7145.62
ORD100239,2023-01-04,Central,Apparel,Jacket,2,3416.78,15,5808.53
ORD100240,2023-01-04,South,Home & Kitchen,Cookware Set,6,6595.61,0,39573.66
ORD100241,2023-01-04,South,Stationery,Notebook,1,451.18,0,451.18
ORD100242,2023-01-04,South,Stationery,Notebook,1,44.84,0,44.84
ORD100243,2023-01-04,South,Beauty,Perfume,4,930.29,10,3349.04
ORD100244,2023-01-04,South,Electronics,Smartphone,7,59002.92,0,413020.44
ORD100245,2023-01-04,South,Beauty,Perfume,2,1200.13,0,2400.26
ORD100246,2023-01-04,West,Apparel,Jacket,3,2291.32,0,6873.96
ORD100247,2023-01-04,North,Electronics,Tablet,6,43880.29,15,223789.48
ORD100248,2023-01-04,East,Electronics,Tablet,5,52500.88,15,223128.74
ORD100249,2023-01-04,West,Beauty,Hair Dryer,2,3260.31,0,6520.62
ORD100250,2023-01-04,East,Apparel,Sneakers,3,2929.27,0,8787.81
ORD100251,2023-01-04,South,Electronics,Headphones,3,46800.76,10,126362.05
ORD100252,2023-01-04,South,Stationery,Desk Organizer,1,175.27,0,175.27
ORD100253,2023-01-04,North,Apparel,Sneakers,3,1462.36,5,4167.73
ORD100254,2023-01-04,South,Groceries,Snack Pack,1,157.55,15,133.92
ORD100255,2023-01-04,South,Electronics,Tablet,5,44896.72,10,202035.24
ORD100256,2023-01-04,Central,Apparel,Sneakers,5,609.44,0,3047.2
ORD100257,2023-01-04,South,Home & Kitchen,Cookware Set,5,4245.76,0,21228.8
ORD100258,2023-01-04,South,Apparel,Sneakers,4,2876.01,0,11504.04
ORD100259,2023-01-04,West,Home & Kitchen,Vacuum Cleaner,3,11923.4,0,35770.2
ORD100260,2023-01-04,South,Electronics,Smartwatch,4,21819.83,5,82915.35
ORD100261,2023-01-04,South,Apparel,Jeans,4,1904.39,5,7236.68
ORD100262,2023-01-04,North,Apparel,Sneakers,3,2661.61,20,6387.86
ORD100263,2023-01-04,South,Home & Kitchen,Mixer,2,4710.17,0,9420.34
ORD100264,2023-01-04,North,Electronics,Tablet,5,47743.78,0,238718.9
ORD100265,2023-01-04,South,Furniture,Office Chair,1,9917.42,5,9421.55
ORD100266,2023-01-04,South,Apparel,Sneakers,5,681.04,0,3405.2
ORD100267,2023-01-04,North,Groceries,Organic Coffee,1,363.21,5,345.05
ORD100268,2023-01-04,Central,Beauty,Hair Dryer,8,935.58,0,7484.64
ORD100269,2023-01-04,South,Home & Kitchen,Vacuum Cleaner,6,6993.9,0,41963.4
ORD100270,2023-01-04,West,Beauty,Skincare Kit,2,530.6,15,902.02
ORD100271,2023-01-04,South,Beauty,Perfume,2,3274.73,15,5567.04
ORD100272,2023-01-04,East,Home & Kitchen,Cookware Set,6,7375.46,20,35402.21
ORD100273,2023-01-04,West,Electronics,Smartphone,4,38231.1,0,152924.4
ORD100274,2023-01-04,South,Groceries,Snack Pack,3,899.83,0,2699.49
ORD100275,2023-01-04,East,Apparel,Jeans,4,1280.67,0,5122.68
ORD100276,2023-01-04,North,Beauty,Hair Dryer,4,516.18,5,1961.48
ORD100277,2023-01-05,East,Home & Kitchen,Cookware Set,5,4818.9,0,24094.5
ORD100278,2023-01-05,North,Home & Kitchen,Cookware Set,2,5160.04,15,8772.07
ORD100279,2023-01-05,West,Apparel,Jacket,4,3661.2,5,13912.56
ORD100280,2023-01-05,West,Home & Kitchen,Vacuum Cleaner,4,1080.75,20,3458.4
ORD100281,2023-01-05,East,Groceries,Organic Coffee,4,603.26,10,2171.74
ORD100282,2023-01-05,West,Apparel,T-Shirt,5,945.64,0,4728.2
ORD100283,2023-01-05,Central,Electronics,Smartwatch,2,27171.69,0,54343.38
ORD100284,2023-01-05,West,Groceries,Cereal Box,4,796.79,20,2549.73
ORD100285,2023-01-05,Central,Furniture,Office Chair,1,2474.41,5,2350.69
ORD100286,2023-01-05,North,Electronics,Tablet,7,23098.93,0,161692.51
ORD100287,2023-01-05,South,Groceries,Organic Coffee,6,113.48,0,680.88
ORD100288,2023-01-05,East,Furniture,Bookshelf,1,18103.51,0,18103.51
ORD100289,2023-01-05,North,Beauty,Perfume,2,2517.87,0,5035.74
ORD100290,2023-01-05,South,Stationery,Desk Organizer,1,174.06,5,165.36
ORD100291,2023-01-05,East,Electronics,Headphones,6,46625.23,0,279751.38
ORD100292,2023-01-05,North,Electronics,Smartphone,1,43626.96,0,43626.96
ORD100293,2023-01-05,North,Stationery,Desk Organizer,1,226.97,0,226.97
ORD100294,2023-01-05,East,Electronics,Tablet,2,17718.2,15,30120.94
ORD100295,2023-01-05,North,Apparel,Jacket,2,3285.36,0,6570.72
ORD100296,2023-01-05,West,Furniture,Office Chair,1,10009.14,0,10009.14
ORD100297,2023-01-05,South,Beauty,Hair Dryer,6,3355.76,0,20134.56
ORD100298,2023-01-05,South,Groceries,Cereal Box,6,461.13,0,2766.78
ORD100299,2023-01-05,Central,Beauty,Hair Dryer,5,2138.3,0,10691.5
ORD100300,2023-01-05,North,Furniture,Office Chair,1,23640.94,0,23640.94
ORD100301,2023-01-05,South,Apparel,Jeans,3,3897.77,0,11693.31
ORD100302,2023-01-05,South,Apparel,Sneakers,5,431.8,0,2159.0
ORD100303,2023-01-05,South,Toys,Action Figure,1,515.16,0,515.16
ORD100304,2023-01-05,West,Apparel,Jacket,3,3244.74,0,9734.22
ORD100305,2023-01-05,East,Beauty,Perfume,4,3151.21,0,12604.84
ORD100306,2023-01-05,North,Beauty,Skincare Kit,3,2970.44,15,7574.62
ORD100307,2023-01-05,North,Groceries,Snack Pack,4,830.31,0,3321.24
ORD100308,2023-01-05,North,Beauty,Skincare Kit,8,1803.24,0,14425.92
ORD100309,2023-01-05,West,Electronics,Laptop,2,20508.24,0,41016.48
ORD100310,2023-01-05,South,Home & Kitchen,Cookware Set,3,9948.54,0,29845.62
ORD100311,2023-01-05,South,Groceries,Organic Coffee,2,577.48,0,1154.96
ORD100312,2023-01-05,North,Electronics,Laptop,1,26006.15,0,26006.15
ORD100313,2023-01-05,South,Electronics,Laptop,2,8139.7,0,16279.4
ORD100314,2023-01-05,South,Groceries,Cereal Box,4,751.77,0,3007.08
ORD100315,2023-01-05,West,Stationery,Pen Set,1,430.87,0,430.87
ORD100316,2023-01-05,North,Toys,Puzzle,1,205.51,5,195.23
ORD100317,2023-01-05,North,Apparel,Jeans,1,2045.85,10,1841.26
ORD100318,2023-01-05,South,Home & Kitchen,Air Fryer,9,9173.85,0,82564.65
ORD100319,2023-01-05,North,Home & Kitchen,Vacuum Cleaner,2,5512.47,0,11024.94
ORD100320,2023-01-05,North,Beauty,Skincare Kit,8,1620.05,0,12960.4
ORD100321,2023-01-05,West,Furniture,Office Chair,1,24571.73,5,23343.14
ORD100322,2023-01-05,North,Electronics,Headphones,2,42655.95,0,85311.9
ORD100323,2023-01-05,South,Beauty,Perfume,4,1897.11,0,7588.44
ORD100324,2023-01-05,North,Toys,Board Game,1,410.45,0,410.45
ORD100325,2023-01-05,South,Apparel,Jeans,7,3620.62,0,25344.34
ORD100326,2023-01-05,East,Beauty,Hair Dryer,4,2751.54,15,9355.24
ORD100327,2023-01-05,East,Home & Kitchen,Mixer,2,2759.91,0,5519.82
ORD100328,2023-01-05,East,Apparel,Jeans,4,2885.15,0,11540.6
ORD100329,2023-01-05,South,Apparel,T-Shirt,5,796.82,0,3984.1
ORD100330,2023-01-05,West,Beauty,Skincare Kit,7,2268.59,0,15880.13
ORD100331,2023-01-05,North,Beauty,Skincare Kit,3,657.31,15,1676.14
ORD100332,2023-01-05,West,Apparel,Jacket,2,2567.14,5,4877.57
ORD100333,2023-01-05,North,Electronics,Tablet,3,59052.0,0,177156.0
ORD100334,2023-01-05,North,Home & Kitchen,Air Fryer,5,7113.12,5,33787.32
ORD100335,2023-01-05,South,Electronics,Smartwatch,4,40742.2,0,162968.8
ORD100336,2023-01-05,North,Apparel,T-Shirt,6,2889.16,0,17334.96
ORD100337,2023-01-05,South,Apparel,Jacket,4,1463.42,15,4975.63
ORD100338,2023-01-05,East,Groceries,Cereal Box,3,855.68,20,2053.63
ORD100339,2023-01-05,North,Electronics,Smartwatch,3,45489.4,0,136468.2
ORD100340,2023-01-05,South,Apparel,T-Shirt,6,2981.6,0,17889.6
